is_cooked,days_since_purchase_or_cooked,storage_location,paneer_type,storage_container_raw,observed_smell,texture_surface,paneer_state
Cooked (in a dish),7,Refrigerator,Packaged/Branded,Not Applicable,Normal/Sweetish,Normal/Firm,1
Raw (in a block),2,Refrigerator,Loose/Local,Submerged in water,Foul/Ammoniacal,Slimy/Sticky,3
Raw (in a block),4,Refrigerator,Packaged/Branded,Airtight container,Foul/Ammoniacal,Slimy/Sticky,2
Cooked (in a dish),6,Refrigerator,Packaged/Branded,Not Applicable,Normal/Sweetish,Normal/Firm,1
Raw (in a block),3,Refrigerator,Packaged/Branded,Airtight container,Normal/Sweetish,Hard/Rubbery,1
Raw (in a block),9,Refrigerator,Packaged/Branded,Airtight container,Soapy/Rancid,Slimy/Sticky,3
Raw (in a block),8,Refrigerator,Packaged/Branded,Airtight container,Foul/Ammoniacal,Slimy/Sticky,3
Cooked (in a dish),0,Refrigerator,Packaged/Branded,Not Applicable,Normal/Sweetish,Normal/Firm,0
Raw (in a block),0,Refrigerator,Packaged/Branded,Original packaging,Normal/Sweetish,Normal/Firm,0
Cooked (in a dish),2,Refrigerator,Packaged/Branded,Not Applicable,Normal/Sweetish,Normal/Firm,0
Raw (in a block),9,Refrigerator,Loose/Local,Airtight container,Foul/Ammoniacal,Slimy/Sticky,3
Raw (in a block),5,Refrigerator,Loose/Local,Airtight container,Foul/Ammoniacal,Slimy/Sticky,3
Raw (in a block),4,Refrigerator,Loose/Local,Airtight container,Foul/Ammoniacal,Slimy/Sticky,3
Cooked (in a dish),4,Refrigerator,Packaged/Branded,Not Applicable,Normal/Sweetish,Normal/Firm,1
Cooked (in a dish),6,Refrigerator,Packaged/Branded,Not Applicable,Normal/Sweetish,Normal/Firm,1
Cooked (in a dish),6,Refrigerator,Packaged/Branded,Not Applicable,Sour/Acidic,Normal/Firm,1
Raw (in a block),0,Refrigerator,Packaged/Branded,Original packaging,Normal/Sweetish,Normal/Firm,0
Cooked (in a dish),6,Refrigerator,Packaged/Branded,Not Applicable,Sour/Acidic,Hard/Rubbery,1
Raw (in a block),9,Refrigerator,Packaged/Branded,Original packaging,Foul/Ammoniacal,Slimy/Sticky,3
