hours_since_cooking,initial_hours_at_room_temp,storage_location,cooling_method,observed_smell,observed_appearance,Spoilage_Index
30,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
59,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
64,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
72,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
74,74,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
25,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
12,12,Room Temperature,Not Applicable,Stale/Slightly Off,Dull/Dry,2
59,59,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
40,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
23,23,Room Temperature,Not Applicable,Stale/Slightly Off,Dull/Dry,2
22,4,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Normal/Glossy,2
54,54,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
19,4,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Normal/Glossy,2
95,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
34,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
52,5,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Dull/Dry,2
57,4,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Normal/Glossy,2
23,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
42,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
48,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
26,26,Room Temperature,Not Applicable,Normal,Dull/Dry,2
46,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
45,45,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
42,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
74,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
44,4,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
76,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
57,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
84,84,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
84,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
9,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
25,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
90,90,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
71,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
7,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
22,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
30,30,Room Temperature,Not Applicable,Normal,Dull/Dry,2
75,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
29,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
44,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
11,11,Room Temperature,Not Applicable,Normal,Dull/Dry,2
10,10,Room Temperature,Not Applicable,Normal,Dull/Dry,2
77,77,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
6,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
33,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
20,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
61,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
23,23,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
22,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
58,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
86,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
52,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
61,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
54,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
47,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
28,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
79,79,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
94,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
1,1,Room Temperature,Not Applicable,Normal,Normal/Glossy,0
58,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
67,67,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
15,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
21,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
19,4,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
77,77,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
57,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
10,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
88,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
26,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
21,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
1,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
39,39,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
